randomisation_order,final_inclusion,paper_ID,DOI,journal,article_type,author,pagecount,title,subject,publication_date,health
14,Yes,13,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0223485,PLOS ONE,Research Article,"Monica M Q Li,Howard Leung,Tim M H Li,Cecilia W P Li-Tsang",19,Measuring the tilt and slant of Chinese handwriting in primary school students: A computerized approach,"/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Wrist,/Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Learning/Human learning,/Biology and life sciences/Neuroscience/Learning and memory/Learning/Human learning,/Biology and life sciences/Psychology/Cognitive psychology/Learning/Human learning,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Wrist,/Medicine and health sciences/Neurology/Cerebrovascular diseases/Stroke,/Medicine and health sciences/Vascular medicine/Stroke,/People and places/Geographical locations/Asia/Hong Kong,/People and places/Population groupings/Age groups/Children,/People and places/Population groupings/Ethnicities/Chinese people,/People and places/Population groupings/Families/Children,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Social sciences/Psychology/Cognitive psychology/Learning/Human learning,/Social sciences/Sociology/Education/Schools",4/11/2019,TRUE
16,Yes,14,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0209388,PLOS ONE,Research Article,"Natasha Wood,Anne McMunn,Elizabeth Webb,Mai Stafford",15,Marriage and physical capability at mid to later life in England and the USA,"/Biology and life sciences/Physiology/Biological locomotion/Walking,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Health care/Socioeconomic aspects of health,/Medicine and health sciences/Mental health and psychiatry,/Medicine and health sciences/Mental health and psychiatry/Mood disorders/Depression,/Medicine and health sciences/Physiology/Biological locomotion/Walking,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Public and occupational health/Behavioral and social aspects of health,/Medicine and health sciences/Public and occupational health/Physical activity,/Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health,/People and places/Geographical locations/Europe/European Union/United Kingdom/England",23/01/2019,TRUE
17,Yes,15,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0219310,PLOS ONE,Research Article,"Aaron Kobina Christian,Mark L Wilson,Richmond N O Aryeetey,Andrew D Jones",14,"Livestock ownership, household food security and childhood anaemia in rural Ghana","/Biology and life sciences/Agriculture/Livestock,/Biology and life sciences/Anatomy/Digestive system/Gastrointestinal tract,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Birds/Poultry,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Ruminants/Goats,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Ruminants/Sheep,/Biology and life sciences/Physiology/Physiological processes/Food consumption,/Medicine and health sciences/Anatomy/Digestive system/Gastrointestinal tract,/Medicine and health sciences/Hematology/Anemia,/Medicine and health sciences/Parasitic diseases/Malaria,/Medicine and health sciences/Physiology/Physiological processes/Food consumption,/Medicine and health sciences/Tropical diseases/Malaria",24/07/2019,TRUE
18,Yes,16,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222569,PLOS ONE,Research Article,"Tomas Vetrovsky,Michal Siranec,Jitka Marencakova,James J Tufano,Vaclav Capek,Vaclav Bunc,Jan Belohlavek",14,Validity of six consumer-level activity monitors for measuring steps in patients with chronic heart failure,"/Biology and life sciences/Anatomy/Anthropometry,/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Hands,/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Wrist,/Biology and life sciences/Physiology/Biological locomotion/Walking,/Engineering and technology/Electronics/Accelerometers,/Engineering and technology/Equipment/Measurement equipment,/Medicine and health sciences/Anatomy/Anthropometry,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Hands,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Wrist,/Medicine and health sciences/Cardiology/Ejection fraction,/Medicine and health sciences/Cardiology/Heart failure,/Medicine and health sciences/Physiology/Biological locomotion/Walking",13/09/2019,TRUE
19,Yes,17,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0215308,PLOS ONE,Research Article,"Sergi Ballespí,Jaume Vives,Naida Alonso,Carla Sharp,María Salvadora Ramírez,Peter Fonagy,Neus Barrantes-Vidal",20,To know or not to know? Mentalization as protection from somatic complaints,"/Biology and life sciences/Neuroscience/Cognitive science/Cognition,/Biology and life sciences/Neuroscience/Cognitive science/Cognition/Metacognition,/Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Attention,/Biology and life sciences/Psychology/Cognitive psychology/Attention,/Biology and life sciences/Psychology/Emotions,/Biology and life sciences/Psychology/Psychometrics,/Medicine and health sciences/Health care/Health education and awareness,/People and places/Population groupings/Age groups/Children/Adolescents,/People and places/Population groupings/Families/Children/Adolescents,/Social sciences/Psychology/Cognitive psychology/Attention,/Social sciences/Psychology/Emotions,/Social sciences/Psychology/Psychometrics,/Social sciences/Sociology/Education/Schools",2/05/2019,TRUE
21,Yes,18,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0218275,PLOS ONE,Research Article,"Laura Menchetti,Gabriella Guelfi,Roberto Speranza,Pasquale Carotenuto,Livia Moscati,Silvana Diverio",16,Benefits of dietary supplements on the physical fitness of German Shepherd dogs during a drug detection training course,"/Biology and life sciences/Agriculture/Animal management/Animal performance,/Biology and life sciences/Biochemistry/Metabolism/Energy metabolism,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Dogs,/Biology and life sciences/Physiology/Biological locomotion/Walking,/Biology and life sciences/Physiology/Physiological processes/Energy metabolism,/Biology and life sciences/Psychology/Behavior/Animal behavior,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise,/Biology and life sciences/Zoology/Animal behavior,/Medicine and health sciences/Cardiology/Heart rate,/Medicine and health sciences/Physiology/Biological locomotion/Walking,/Medicine and health sciences/Physiology/Physiological processes/Energy metabolism,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise,/Medicine and health sciences/Sports and exercise medicine/Exercise,/Social sciences/Psychology/Behavior/Animal behavior",14/06/2019,TRUE
22,Yes,19,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222117,PLOS ONE,Research Article,"Anna Lene Seidler,Kylie E Hunter,Nicholas Chartres,Lisa M Askie",12,Associations between industry involvement and study characteristics at the time of trial registration in biomedical research,"/Medicine and health sciences/Clinical medicine/Clinical trials,/Medicine and health sciences/Pharmacology/Drug research and development,/Medicine and health sciences/Pharmacology/Drug research and development/Clinical trials,/Medicine and health sciences/Public and occupational health/Preventive medicine,/Research and analysis methods/Clinical trials,/Science policy/Research funding,/Science policy/Research funding/Government funding of science,/Science policy/Research funding/Research grants,/Social sciences/Economics/Finance,/Social sciences/Economics/Industrial organization",25/09/2019,TRUE
23,Yes,20,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0212184,PLOS ONE,Research Article,"Belayneh Kefale,Minyahil Alebachew,Yewondwossen Tadesse,Ephrem Engidawork",16,Quality of life and its predictors among patients with chronic kidney disease: A hospital-based cross sectional study,"/Biology and life sciences/Biochemistry/Proteins/Hemoglobin,/Biology and life sciences/Psychology/Emotions,/Medicine and health sciences/Health care/Patients,/Medicine and health sciences/Health care/Quality of life,/Medicine and health sciences/Health care/Socioeconomic aspects of health,/Medicine and health sciences/Mental health and psychiatry,/Medicine and health sciences/Nephrology/Chronic kidney disease,/Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health,/People and places/Population groupings/Professions,/Social sciences/Psychology/Emotions",27/02/2019,TRUE
26,Yes,21,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224223,PLOS ONE,Research Article,"Declan J Ryan,Jorgen Antonin Wullems,Georgina Kate Stebbings,Christopher Ian Morse,Claire Elizabeth Stewart,Gladys Leopoldine Onambele-Pearson",14,Using isotemporal substitution to predict the effects of changing physical behaviour on older adults’ cardio-metabolic profiles,"/Biology and life sciences/Biochemistry/Lipids,/Biology and life sciences/Biochemistry/Lipids/Cholesterol,/Biology and life sciences/Biochemistry/Proteins/Lipoproteins,/Engineering and technology/Electronics/Accelerometers,/Medicine and health sciences/Cardiology,/Medicine and health sciences/Cardiovascular medicine/Cardiovascular diseases,/Medicine and health sciences/Public and occupational health/Physical activity,/People and places/Population groupings/Age groups/Elderly",23/10/2019,TRUE
28,Yes,22,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0211684,PLOS ONE,Research Article,"Dominic Bown,Antonio Belli,Kasim Qureshi,David Davies,Emma Toman,Rachel Upthegrove",14,Post-traumatic stress disorder and self-reported outcomes after traumatic brain injury in victims of assault,"/Biology and life sciences/Psychology/Emotions,/Medicine and health sciences/Critical care and emergency medicine/Trauma medicine/Traumatic injury/Neurotrauma/Traumatic brain injury,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Headaches,/Medicine and health sciences/Health care/Patients,/Medicine and health sciences/Health care/Quality of life,/Medicine and health sciences/Mental health and psychiatry/Neuropsychiatric disorders/Anxiety disorders/Post-traumatic stress disorder,/Medicine and health sciences/Mental health and psychiatry/Neuroses/Anxiety disorders/Post-traumatic stress disorder,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Headaches,/Research and analysis methods/Research design/Survey research/Questionnaires,/Social sciences/Psychology/Emotions,/Social sciences/Sociology/Criminology/Crime/Assault",7/02/2019,TRUE
29,Yes,23,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0221193,PLOS ONE,Research Article,"Nuhu Amin,Mahbubur Rahman,Suraja Raj,Shahjahan Ali,Jamie Green,Shimul Das,Solaiman Doza,Momenul Haque Mondol,Yuke Wang,Mohammad Aminul Islam,Mahbub-Ul Alam,Tarique Md Nurul Huda,Sabrina Haque,Leanne Unicomb,George Joseph,Christine L Moe",21,"Quantitative assessment of fecal contamination in multiple environmental sample types in urban communities in Dhaka, Bangladesh using SaniPath microbial approach","/Earth sciences/Geography/Human geography/Neighborhoods,/Earth sciences/Hydrology/Flooding,/Earth sciences/Hydrology/Surface water,/Ecology and environmental sciences/Natural resources/Water resources,/Ecology and environmental sciences/Pollution/Water pollution,/Ecology and environmental sciences/Terrestrial environments/Urban environments,/Engineering and technology/Environmental engineering/Water management,/Medicine and health sciences/Health care/Environmental health/Sanitation,/Medicine and health sciences/Public and occupational health/Environmental health/Sanitation,/Social sciences/Human geography/Neighborhoods",16/12/2019,TRUE
30,Yes,24,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0212023,PLOS ONE,Research Article,"Lutz Renders,Klemens Budde,Christian Rosenberger,Rachel van Swelm,Dorine Swinkels,Frank Dellanna,Werner Feuerer,Ming Wen,Christiane Erley,Birgit Bader,Claudia Sommerer,Matthias Schaier,Karoline Meurer,Louis Matis",16,"First-in-human Phase I studies of PRS-080#22, a hepcidin antagonist, in healthy volunteers and patients with chronic kidney disease undergoing hemodialysis","/Biology and life sciences/Biochemistry/Proteins/Protein complexes/Ferritin,/Medicine and health sciences/Hematology/Anemia,/Medicine and health sciences/Nephrology/Chronic kidney disease,/Medicine and health sciences/Nephrology/Medical dialysis,/Medicine and health sciences/Pharmaceutics/Dose prediction methods/Adjustment of dosage at steady state,/Medicine and health sciences/Pharmacology/Adverse reactions,/Medicine and health sciences/Pharmacology/Pharmacodynamics,/Medicine and health sciences/Pharmacology/Pharmacokinetics",27/03/2019,TRUE
31,Yes,25,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224752,PLOS ONE,Research Article,"S M Abdul Gaffar,Mohammod Jobayer Chisti,Mustafa Mahfuz,Tahmeed Ahmed",11,Impact of negative tuberculin skin test on growth among disadvantaged Bangladeshi children,"/Biology and life sciences/Nutrition/Malnutrition,/Biology and life sciences/Organisms/Bacteria/Actinobacteria/Mycobacterium tuberculosis,/Medicine and health sciences/Diagnostic medicine/Skin tests,/Medicine and health sciences/Diagnostic medicine/Skin tests/Tuberculin,/Medicine and health sciences/Diagnostic medicine/Tuberculosis diagnosis and management,/Medicine and health sciences/Infectious diseases/Bacterial diseases/Tuberculosis,/Medicine and health sciences/Nutrition/Malnutrition,/Medicine and health sciences/Tropical diseases/Tuberculosis,/People and places/Population groupings/Age groups/Children,/People and places/Population groupings/Families/Children,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis",7/11/2019,TRUE
34,Yes,26,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222682,PLOS ONE,Research Article,"Christopher Nell,Robin Bülow,Norbert Hosten,Carsten Oliver Schmidt,Katrin Hegenscheid",16,Reference values for the cervical spinal canal and the vertebral bodies by MRI in a general population,"/Biology and life sciences/Anatomy/Musculoskeletal system/Spine,/Biology and life sciences/Anatomy/Nervous system/Neuroanatomy/Spinal cord,/Biology and life sciences/Neuroscience/Neuroanatomy/Spinal cord,/Biology and life sciences/Physiology/Physiological parameters/Body height,/Biology and life sciences/Physiology/Physiological parameters/Body weight,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Engineering and technology/Civil engineering/Transportation infrastructure/Canals,/Engineering and technology/Transportation/Transportation infrastructure/Canals,/Medicine and health sciences/Anatomy/Musculoskeletal system/Spine,/Medicine and health sciences/Anatomy/Nervous system/Neuroanatomy/Spinal cord,/Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Magnetic resonance imaging,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Stenosis,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Stenosis,/Medicine and health sciences/Physiology/Physiological parameters/Body height,/Medicine and health sciences/Physiology/Physiological parameters/Body weight,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Magnetic resonance imaging,/Research and analysis methods/Imaging techniques/Diagnostic radiology/Magnetic resonance imaging",27/09/2019,TRUE
