randomisation_order,screened,initial_inclusion,final_inclusion,exclusion_reason,paper_ID,DOI,journal,article_type,author,pagecount,title,subject,publication_date,health
11,Yes,Yes,Yes,,10,10.1371/journal.pone.0213589,PLOS ONE,Research Article,"Ernst Schrier,Jan H B Geertzen,Jelmer Scheper,Pieter U Dijkstra",13,Psychosocial factors associated with poor outcomes after amputation for complex regional pain syndrome type-I,"/Biology and life sciences/Psychology/Emotions/Anxiety,/Biology and life sciences/Psychology/Pain psychology,/Biology and life sciences/Psychology/Psychometrics,/Medicine and health sciences/Epidemiology/Medical risk factors,/Medicine and health sciences/Health care/Health care providers/Medical doctors/Physicians,/Medicine and health sciences/Health care/Quality of life,/Medicine and health sciences/Mental health and psychiatry/Mental health therapies,/Medicine and health sciences/Mental health and psychiatry/Mood disorders/Depression,/Medicine and health sciences/Pain management/Pain psychology,/People and places/Population groupings/Professions/Medical personnel/Medical doctors/Physicians,/Social sciences/Psychology/Emotions/Anxiety,/Social sciences/Psychology/Pain psychology,/Social sciences/Psychology/Psychometrics",13/03/2019,TRUE
12,Yes,Yes,No,"Linear regression has been used to calculate individual slopes, but results have not been shown, and has been used as a dependent variable in further non-parametric tests. Could be seen as pre-processing.",11,10.1371/journal.pone.0213778,PLOS ONE,Research Article,"Inge Ringheim,Aage Indahl,Karin Roeleveld",13,Reduced muscle activity variability in lumbar extensor muscles during sustained sitting in individuals with chronic low back pain,"/Biology and life sciences/Anatomy/Musculoskeletal system,/Biology and life sciences/Anatomy/Musculoskeletal system/Pelvis,/Biology and life sciences/Physiology/Muscle physiology/Muscle contraction,/Medicine and health sciences/Anatomy/Musculoskeletal system,/Medicine and health sciences/Anatomy/Musculoskeletal system/Pelvis,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Fatigue,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Pain/Lower back pain,/Medicine and health sciences/Diagnostic medicine/Signs and symptoms/Pain/Myalgia,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Fatigue,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Pain/Lower back pain,/Medicine and health sciences/Pathology and laboratory medicine/Signs and symptoms/Pain/Myalgia,/Medicine and health sciences/Physiology/Muscle physiology/Muscle contraction,/Physical sciences/Materials science/Materials physics/Material fatigue,/Physical sciences/Physics/Classical mechanics/Damage mechanics/Material fatigue,/Physical sciences/Physics/Materials physics/Material fatigue,/Research and analysis methods/Bioassays and physiological analysis/Electrophysiological techniques/Muscle electrophysiology/Electromyography",14/03/2019,TRUE
13,Yes,Yes,Yes,,12,10.1371/journal.pone.0215351,PLOS ONE,Research Article,"Steven L Zeichner,Emmanuel F Mongodin,Lauren Hittle,Szu-Han Huang,Clarivet Torres",21,The bacterial communities of the small intestine and stool in children with short bowel syndrome,"/Biology and life sciences/Anatomy/Digestive system/Gastrointestinal tract,/Biology and life sciences/Biochemistry/Nucleic acids/RNA/Non-coding RNA/Ribosomal RNA,/Biology and life sciences/Biochemistry/Ribosomes/Ribosomal RNA,/Biology and life sciences/Cell biology/Cellular structures and organelles/Ribosomes/Ribosomal RNA,/Biology and life sciences/Ecology/Ecological metrics/Species diversity/Shannon index,/Biology and life sciences/Genetics/Genomics/Microbial genomics/Microbiome,/Biology and life sciences/Microbiology/Medical microbiology/Microbiome,/Biology and life sciences/Microbiology/Microbial genomics/Microbiome,/Biology and life sciences/Molecular biology/Molecular biology techniques/Artificial gene amplification and extension/Polymerase chain reaction,/Biology and life sciences/Nutrition,/Biology and life sciences/Nutrition/Diet,/Biology and life sciences/Taxonomy,/Computer and information sciences/Data management/Taxonomy,/Ecology and environmental sciences/Ecology/Ecological metrics/Species diversity/Shannon index,/Medicine and health sciences/Anatomy/Digestive system/Gastrointestinal tract,/Medicine and health sciences/Nutrition,/Medicine and health sciences/Nutrition/Diet,/Research and analysis methods/Molecular biology techniques/Artificial gene amplification and extension/Polymerase chain reaction",16/05/2019,TRUE
14,Yes,Yes,Yes,,13,10.1371/journal.pone.0223485,PLOS ONE,Research Article,"Monica M Q Li,Howard Leung,Tim M H Li,Cecilia W P Li-Tsang",19,Measuring the tilt and slant of Chinese handwriting in primary school students: A computerized approach,"/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Wrist,/Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Learning/Human learning,/Biology and life sciences/Neuroscience/Learning and memory/Learning/Human learning,/Biology and life sciences/Psychology/Cognitive psychology/Learning/Human learning,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Wrist,/Medicine and health sciences/Neurology/Cerebrovascular diseases/Stroke,/Medicine and health sciences/Vascular medicine/Stroke,/People and places/Geographical locations/Asia/Hong Kong,/People and places/Population groupings/Age groups/Children,/People and places/Population groupings/Ethnicities/Chinese people,/People and places/Population groupings/Families/Children,/Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis,/Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis,/Social sciences/Psychology/Cognitive psychology/Learning/Human learning,/Social sciences/Sociology/Education/Schools",4/11/2019,TRUE
15,Yes,No,No,Linear regression is pre-processing method and not presented in paper,,10.1371/journal.pone.0210905,PLOS ONE,Research Article,"Clément Morgat,Romain Schollhammer,Gaétan Macgrogan,Nicole Barthe,Valérie Vélasco,Delphine Vimont,Anne-Laure Cazeau,Philippe Fernandez,Elif Hindié",9,Comparison of the binding of the gastrin-releasing peptide receptor (GRP-R) antagonist 68Ga-RM2 and 18F-FDG in breast cancer samples,"/Biology and life sciences/Anatomy/Lymphatic system/Lymph nodes,/Biology and life sciences/Biochemistry/Proteins/Immune system proteins/Immune receptors,/Biology and life sciences/Cell biology/Signal transduction/Immune receptors,/Biology and life sciences/Immunology/Immune system proteins/Immune receptors,/Biology and life sciences/Neuroscience/Neuroimaging/Positron emission tomography,/Medicine and health sciences/Anatomy/Lymphatic system/Lymph nodes,/Medicine and health sciences/Diagnostic medicine/Cancer detection and diagnosis,/Medicine and health sciences/Diagnostic medicine/Diagnostic radiology/Tomography/Positron emission tomography,/Medicine and health sciences/Immunology/Immune system proteins/Immune receptors,/Medicine and health sciences/Oncology/Cancer detection and diagnosis,/Medicine and health sciences/Oncology/Cancers and neoplasms/Breast tumors,/Medicine and health sciences/Oncology/Cancers and neoplasms/Breast tumors/Breast cancer,/Medicine and health sciences/Radiology and imaging/Diagnostic radiology/Tomography/Positron emission tomography,/Research and analysis methods/Chemical characterization/Binding analysis,/Research and analysis methods/Histochemistry and cytochemistry techniques/Immunohistochemistry techniques,/Research and analysis methods/Imaging techniques/Diagnostic radiology/Tomography/Positron emission tomography,/Research and analysis methods/Imaging techniques/Neuroimaging/Positron emission tomography,/Research and analysis methods/Immunologic techniques/Immunohistochemistry techniques",15/01/2019,TRUE
16,Yes,Yes,Yes,,14,10.1371/journal.pone.0209388,PLOS ONE,Research Article,"Natasha Wood,Anne McMunn,Elizabeth Webb,Mai Stafford",15,Marriage and physical capability at mid to later life in England and the USA,"/Biology and life sciences/Physiology/Biological locomotion/Walking,/Biology and life sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Health care/Socioeconomic aspects of health,/Medicine and health sciences/Mental health and psychiatry,/Medicine and health sciences/Mental health and psychiatry/Mood disorders/Depression,/Medicine and health sciences/Physiology/Biological locomotion/Walking,/Medicine and health sciences/Physiology/Physiological parameters/Body weight/Body mass index,/Medicine and health sciences/Public and occupational health/Behavioral and social aspects of health,/Medicine and health sciences/Public and occupational health/Physical activity,/Medicine and health sciences/Public and occupational health/Socioeconomic aspects of health,/People and places/Geographical locations/Europe/European Union/United Kingdom/England",23/01/2019,TRUE
17,Yes,Yes,Yes,,15,10.1371/journal.pone.0219310,PLOS ONE,Research Article,"Aaron Kobina Christian,Mark L Wilson,Richmond N O Aryeetey,Andrew D Jones",14,"Livestock ownership, household food security and childhood anaemia in rural Ghana","/Biology and life sciences/Agriculture/Livestock,/Biology and life sciences/Anatomy/Digestive system/Gastrointestinal tract,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Birds/Poultry,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Ruminants/Goats,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Ruminants/Sheep,/Biology and life sciences/Physiology/Physiological processes/Food consumption,/Medicine and health sciences/Anatomy/Digestive system/Gastrointestinal tract,/Medicine and health sciences/Hematology/Anemia,/Medicine and health sciences/Parasitic diseases/Malaria,/Medicine and health sciences/Physiology/Physiological processes/Food consumption,/Medicine and health sciences/Tropical diseases/Malaria",24/07/2019,TRUE
18,Yes,Yes,Yes,,16,10.1371/journal.pone.0222569,PLOS ONE,Research Article,"Tomas Vetrovsky,Michal Siranec,Jitka Marencakova,James J Tufano,Vaclav Capek,Vaclav Bunc,Jan Belohlavek",14,Validity of six consumer-level activity monitors for measuring steps in patients with chronic heart failure,"/Biology and life sciences/Anatomy/Anthropometry,/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Hands,/Biology and life sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Wrist,/Biology and life sciences/Physiology/Biological locomotion/Walking,/Engineering and technology/Electronics/Accelerometers,/Engineering and technology/Equipment/Measurement equipment,/Medicine and health sciences/Anatomy/Anthropometry,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Hands,/Medicine and health sciences/Anatomy/Musculoskeletal system/Body limbs/Arms/Wrist,/Medicine and health sciences/Cardiology/Ejection fraction,/Medicine and health sciences/Cardiology/Heart failure,/Medicine and health sciences/Physiology/Biological locomotion/Walking",13/09/2019,TRUE
19,Yes,Yes,Yes,,17,10.1371/journal.pone.0215308,PLOS ONE,Research Article,"Sergi Ballespí,Jaume Vives,Naida Alonso,Carla Sharp,María Salvadora Ramírez,Peter Fonagy,Neus Barrantes-Vidal",20,To know or not to know? Mentalization as protection from somatic complaints,"/Biology and life sciences/Neuroscience/Cognitive science/Cognition,/Biology and life sciences/Neuroscience/Cognitive science/Cognition/Metacognition,/Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Attention,/Biology and life sciences/Psychology/Cognitive psychology/Attention,/Biology and life sciences/Psychology/Emotions,/Biology and life sciences/Psychology/Psychometrics,/Medicine and health sciences/Health care/Health education and awareness,/People and places/Population groupings/Age groups/Children/Adolescents,/People and places/Population groupings/Families/Children/Adolescents,/Social sciences/Psychology/Cognitive psychology/Attention,/Social sciences/Psychology/Emotions,/Social sciences/Psychology/Psychometrics,/Social sciences/Sociology/Education/Schools",2/05/2019,TRUE
20,Yes,No,No,Linear mixed models used,,10.1371/journal.pone.0213780,PLOS ONE,Research Article,"Mercedes García-Roche,Alberto Casal,Diego A Mattiauda,Mateo Ceriani,Alejandra Jasinsky,Mauricio Mastrogiovanni,Andrés Trostchansky,Mariana Carriquiry,Adriana Cassina,Celia Quijano",24,Impaired hepatic mitochondrial function during early lactation in dairy cows: Association with protein lysine acetylation,"/Biology and life sciences/Biochemistry/Bioenergetics/Energy-producing organelles/Mitochondria,/Biology and life sciences/Biochemistry/Proteins/Post-translational modification/Acetylation,/Biology and life sciences/Cell biology/Cellular structures and organelles/Energy-producing organelles/Mitochondria,/Biology and life sciences/Nutrition/Diet,/Biology and life sciences/Organisms/Eukaryota/Plants/Flowering plants/Medicago,/Biology and life sciences/Organisms/Eukaryota/Plants/Legumes/Fabaceae/Medicago,/Biology and life sciences/Physiology/Endocrine physiology/Lactation,/Biology and life sciences/Physiology/Physiological processes/Respiration/Oxygen consumption,/Biology and life sciences/Physiology/Reproductive physiology/Lactation,/Medicine and health sciences/Endocrinology/Endocrine physiology/Lactation,/Medicine and health sciences/Gastroenterology and hepatology/Liver diseases/Fatty liver,/Medicine and health sciences/Nutrition/Diet,/Medicine and health sciences/Physiology/Endocrine physiology/Lactation,/Medicine and health sciences/Physiology/Physiological processes/Respiration/Oxygen consumption,/Medicine and health sciences/Physiology/Reproductive physiology/Lactation,/Medicine and health sciences/Surgical and invasive medical procedures/Biopsy,/Physical sciences/Chemistry/Chemical reactions/Acetylation",14/03/2019,TRUE
21,Yes,Yes,Yes,,18,10.1371/journal.pone.0218275,PLOS ONE,Research Article,"Laura Menchetti,Gabriella Guelfi,Roberto Speranza,Pasquale Carotenuto,Livia Moscati,Silvana Diverio",16,Benefits of dietary supplements on the physical fitness of German Shepherd dogs during a drug detection training course,"/Biology and life sciences/Agriculture/Animal management/Animal performance,/Biology and life sciences/Biochemistry/Metabolism/Energy metabolism,/Biology and life sciences/Organisms/Eukaryota/Animals/Vertebrates/Amniotes/Mammals/Dogs,/Biology and life sciences/Physiology/Biological locomotion/Walking,/Biology and life sciences/Physiology/Physiological processes/Energy metabolism,/Biology and life sciences/Psychology/Behavior/Animal behavior,/Biology and life sciences/Sports science/Sports and exercise medicine/Exercise,/Biology and life sciences/Zoology/Animal behavior,/Medicine and health sciences/Cardiology/Heart rate,/Medicine and health sciences/Physiology/Biological locomotion/Walking,/Medicine and health sciences/Physiology/Physiological processes/Energy metabolism,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness,/Medicine and health sciences/Public and occupational health/Physical activity/Physical fitness/Exercise,/Medicine and health sciences/Sports and exercise medicine/Exercise,/Social sciences/Psychology/Behavior/Animal behavior",14/06/2019,TRUE
22,Yes,Yes,Yes,,19,10.1371/journal.pone.0222117,PLOS ONE,Research Article,"Anna Lene Seidler,Kylie E Hunter,Nicholas Chartres,Lisa M Askie",12,Associations between industry involvement and study characteristics at the time of trial registration in biomedical research,"/Medicine and health sciences/Clinical medicine/Clinical trials,/Medicine and health sciences/Pharmacology/Drug research and development,/Medicine and health sciences/Pharmacology/Drug research and development/Clinical trials,/Medicine and health sciences/Public and occupational health/Preventive medicine,/Research and analysis methods/Clinical trials,/Science policy/Research funding,/Science policy/Research funding/Government funding of science,/Science policy/Research funding/Research grants,/Social sciences/Economics/Finance,/Social sciences/Economics/Industrial organization",25/09/2019,TRUE
